xo,xa,xb,lon,lat,roll,Psc,Psn,Pbc,Pbn,Rsc,Rsn,Rbc,Rbn,crls,crlb,e1,sh,h0,h1,Q1
74499.0,74000.0,74999.0,-56.62299773022969,75.3626820461499,0.0,-80.089972022162,-82.23086599872344,-149.68410863566757,-150.95057626299956,-9.990100525891716,-3.588678964098917,-23.297967782533554,-10.26180288771723,0.9130523085858595,0.9522776434916246,5.162219036788265,0.07840725824615387,451.18914975275624,1071.3858649987455,-21.427717299974912
74749.0,74250.0,75249.0,-56.62453792465392,75.36344142826029,0.0,-80.00490510669368,-81.30902584342927,-150.1132373013533,-151.8577315384617,-9.839040713173038,-2.567849462929191,-22.098223168508937,-10.331564241956963,0.9701979022988666,0.9989769470154825,5.685283013749738,0.08455684712820517,454.6302109990672,1091.038651401066,-21.82077302802132
74999.0,74500.0,75499.0,-56.6260781627241,75.36420022958343,0.0,-79.97348986389238,-81.24320390922007,-151.92369284761065,-151.66755229280312,-9.740423262459348,-2.401224216851416,-23.077029026262004,-8.709183671941975,0.9334596993049993,0.9911856014744577,5.814587583374775,0.08455684712820517,458.16130001054415,1106.2529869006153,-22.125059738012304
75249.0,74750.0,75749.0,-56.62761856472342,75.36495839334998,0.0,-80.30404846495513,-81.50251371120741,-154.0052103179924,-151.26041257954466,-9.992823621141705,-2.543296655268192,-24.768296311443905,-7.301943050458075,0.9389501602069019,0.989034175199959,5.493235777645487,0.08455684712820517,462.3025772081443,1120.7790815955125,-22.41558163191025
75499.0,75000.0,75999.0,-56.6291590020398,75.36571588792508,0.0,-80.82533658830866,-79.35633863061302,-154.60440004607656,-152.56486880967603,-10.443172513771442,-0.29071272858811176,-22.662637146711155,-7.727163576688487,0.9228307366167365,0.9761488429393129,6.242400909033238,0.10300561377435909,466.09374643009903,1139.9290308385473,-22.798580616770945
75749.0,75250.0,76249.0,-56.63069927475844,75.36647267818365,0.0,-82.48939602046367,-78.61867762323425,-157.56330090328083,-154.6850335959147,-12.039918923781068,0.5479178120087427,-24.19975790841379,-8.682045942752714,0.7877813255511384,0.9916240349521974,5.5554257091492465,0.11991698320000017,469.7198647492506,1167.000772199054,-23.340015443981077
75999.0,75500.0,76499.0,-56.63223912723733,75.36722876154965,0.0,-77.740123773617,-80.27061245232804,-160.15154253670846,-155.56466517772097,-7.236342114641814,-1.0225601736461662,-23.722977531660984,-5.79088907425783,0.8039631940610321,0.9917243117660821,10.570777597623508,0.07686986102564104,472.6657732871499,1194.3450007352833,-23.886900014705667
76249.0,75750.0,76749.0,-56.633778191210986,75.36798419035473,0.0,-77.52178238794829,-80.45627970896672,-164.5124602569682,-158.01408066361415,-6.964855680693268,-1.1285098578650807,-26.356032620025477,-5.897523145195409,0.8615245226508247,0.9759764916598599,11.080746989421357,0.07379506658461539,475.5666679424665,1231.1981889588099,-24.6239637791762
76499.0,76000.0,76999.0,-56.635316120623884,75.36873901843,0.0,-78.6320687209125,-80.18404031805095,-165.08049569319297,-161.47095908047493,-8.014152378803512,-0.7647860146683638,-25.96716495253289,-8.698650172682699,0.8706563869739951,0.9840132059212433,9.0173532667721,0.08301944990769235,478.91770142361423,1268.4671308112013,-25.369342616224024
76749.0,76250.0,77249.0,-56.636852517873606,75.36949329317842,0.0,-80.13259581480833,-80.61307471588437,-164.83386878843856,-161.5487405930791,-9.457809175984725,-1.1085149674298627,-25.977466900709835,-7.978088939827568,0.9037195589666553,0.9883843334417307,6.579489792412367,0.08916903878974365,482.0636716618941,1303.1263758985767,-26.062527517971535
76999.0,76500.0,77499.0,-56.638387008954794,75.37024707064433,0.0,-81.14076798730127,-81.20156366486356,-164.201889403786,-160.24470497329602,-10.417184339768351,-1.6238084033450642,-25.161815423360157,-5.887789893461881,0.9515957033911603,0.9422678411134994,5.45704538027512,0.0922438332307693,484.77950924438034,1328.4143094596366,-26.568286189192733
77249.0,76750.0,77749.0,-56.63991943974195,75.3710003686324,0.0,-80.83759427372968,-80.59743310788438,-167.18647640094915,-156.10539683611393,-10.093155709454784,-0.9883954712529414,-26.998284192172257,-0.47461855239496353,0.9786433916906515,0.9849915029042633,5.985280140754115,0.09378123045128213,485.94486864902666,1339.8447251072514,-26.79689450214503
77499.0,77000.0,77999.0,-56.64144974464861,75.37175318655349,0.0,-80.8082757555731,-81.25218768744952,-159.99947814886022,-157.20503624601668,-10.05936840537166,-1.6364468719282481,-20.291091514438246,-2.267603622159309,0.9280326741746585,0.9962685541565599,5.70096235698496,0.08916903878974365,486.1949457744876,1341.0751311168838,-26.821502622337675
